,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
24,Swire,Guard,Support,Instructor,5,1914,656,413,1914,682,413,1914,696,443,1914,722,443,0,16,14,2,70,66,1.05, 1,Physical
25,Savage,Guard,AoE,Centurion,5,2430,705,320,2680,740,320,2430,705,360,2680,740,360,0,22,22,3,70,70,1.2, Multi (Block #),Physical
26,Specter,Guard,AoE,Centurion,5,2630,725,355,2630,752,355,2630,805,355,2630,832,355,0,23,21,3,70,66,1.2, Multi (Block #),Physical
27,Lappland,Guard,Ranged,Lord,5,2350,685,365,2350,710,365,2350,760,365,2350,785,365,15,19,17,2,70,66,1.3, 1,Physical
28,Indra,Guard,Brawler,Fighter,5,2565,530,350,2565,553,350,2565,605,350,2565,628,350,0,10,8,1,70,66,0.78, 1,Physical
29,Franka,Guard,Duelist,Dreadnought,5,3768,936,235,3768,966,235,3768,1011,260,3768,1041,260,0,18,16,1,70,60,1.5,  1,Physical
30,Arene,Guard,Ranged,Lord,4,2250,640,340,2250,658,340,2250,695,340,2250,713,340,10,18,16,2,70,66,1.3, 1,Physical
31,Jackie,Guard,Brawler,Fighter,4,2378,529,308,2378,550,308,2378,589,308,2378,610,308,0,9,7,1,70,66,0.78, 1,Physical
32,Cutter,Guard,Dualstrike,Swordmaster,4,2320,571,325,2320,592,325,2320,641,325,2320,662,325,0,21,19,2,70,66,1.3, 1,Physical
33,Conviction,Guard,Duelist,Dreadnought,4,3483,929,166,3483,929,166,3705,951,166,3705,951,166,0,16,16,1,70,70,1.5, 1,Physical
34,Utage,Guard,Enmity,Musha,4,3444,693,312,3444,716,312,3444,723,352,3444,746,352,0,24,22,1,70,60,1.2, 1,Physical
35,Beehunter,Guard,Brawler,Fighter,4,2435,513,312,2615,513,312,2435,573,312,2615,573,312,0,9,7,1,70,66,0.78, 1,Physical
36,Mousse,Guard,Arts Fighter,N/A,4,2345,644,357,2345,670,357,2345,679,392,2345,705,392,15,20,18,1,70,66,1.25, 1,Arts
37,Estelle,Guard,AoE,Centurion,4,2500,690,315,2700,690,315,2850,690,315,3050,690,315,0,22,20,3,70,66,1.2, Multi (Block #),Physical
38,Frostleaf,Guard,Ranged,Lord,4,2260,660,323,2260,660,323,2260,660,378,2260,660,378,10,18,16,2,70,60,1.3, 1,Physical
39,Matoimaru,Guard,Duelist,Dreadnought,4,3640,916,156,3820,916,156,4090,916,156,4270,916,156,0,17,15,1,70,66,1.5, 1,Physical
40,Dobermann,Guard,Support,Instructor,4,2024,602,382,2174,602,382,2024,632,412,2174,632,412,0,15,13,2,70,66,1.05, 1,Physical
41,Popukar,Guard,AoE,Centurion,3,1858,495,245,1858,518,245,1858,545,245,1858,568,245,0,19,17,2,70,66,1.2, Multi (Block #),Physical
42,Midnight,Guard,Ranged,Lord,3,1653,497,282,1653,519,282,1653,547,282,1653,569,282,10,16,14,2,70,66,1.3, 1,Physical
43,Melantha,Guard,Duelist,Dreadnought,3,2745,738,155,2745,763,155,2745,803,155,2745,828,155,0,15,13,1,70,60,1.5, 1,Physical
44,Castle-3,Guard,Duelist,Dreadnought,1,1191,353,90,1191,353,90,1391,413,90,1391,413,90,0,3,3,1,200,200,1.5, 1,Physical
