,Name,Class,Archetype 1,Archetype 2,Rarity,Base HP,Base ATK,Base DEF,HP (Max Potential),ATK (Max Potential),DEF (Max Potential),HP (Max Trust),ATK (Max Trust),DEF (Max Trust),Full HP,Full ATK,Full DEF,Resistance,Base Cost,Max Cost,Block Count,Base Redeployment Time (s),Max Redeployment Time (s),Attack Interval (s),Target Number,Damage Type
68,Bena,Specialist,Substitute,Dollkeeper,5,2435,682,315,2435,682,315,2535,742,315,2535,742,315,0,17,14,2,80,70,1.2, 1,Physical
69,Akafuyu,Guard,Enmity,Musha,5,3635,728,328,3635,728,351,3635,758,383,3635,758,406,0,25,23,1,70,60,1.2, 1,Physical
70,Toddifons,Sniper,Heavyweight,Besieger,5,1667,954,123,1667,988,123,1667,1049,123,1667,1083,123,0,23,21,1,70,66,2.4, 1,Physical
71,Heavyrain,Defender,Normal,Protector,5,3380,378,721,3380,378,721,3730,378,756,3730,378,756,0,24,21,3,80,70,1.2, 1,Physical
72,Frost,Specialist,Trapmaster,N/A,5,1359,529,157,1359,552,157,1559,569,157,1559,592,157,0,13,11,1,70,66,0.85, 1,Physical
73,Blitz,Defender,Normal,Protector,5,3213,445,676,3213,470,676,3213,490,721,3213,515,721,0,22,20,3,70,66,1.2, 1,Physical
74,Tachanka,Guard,Dualstrike,Swordmaster,5,2626,621,309,2626,621,309,2626,661,349,2626,661,349,0,24,21,2,80,70,1.3, 1,Physical
75,Mr. Nothing,Specialist,DP-Drain,Merchant,5,2398,725,396,2398,750,396,2598,765,396,2598,790,396,0,8,6,1,25,22,1, 1,Physical
76,Lava the Purgatory,Caster,AoE,Splash Caster,5,1543,798,115,1543,798,115,1543,888,115,1543,888,115,20,35,32,1,80,70,2.9, AoE,Arts
77,Tuye,Medic,ST,Medic,5,1550,493,135,1550,493,135,1550,568,135,1550,568,135,0,21,18,1,80,70,2.85, 1,Healing
78,Iris,Caster,Charge,Mystic Caster,5,1535,1259,125,1535,1304,125,1535,1389,125,1535,1434,125,20,24,22,1,70,66,3, 1,Arts
79,Robin,Specialist,Trapmaster,N/A,5,1442,513,166,1442,513,166,1642,553,166,1642,553,166,0,13,10,1,80,70,0.85, 1,Physical
80,Kafka,Specialist,Fast-Redeploy,Executor,5,1675,525,311,1825,525,311,2025,525,311,2175,525,311,0,9,7,1,18,16,0.93, 1,Physical
81,Amiya (Guard),Guard,Arts Fighter,N/A,5,2629,657,376,2829,685,398,2629,702,421,2829,730,443,20,21,19,1,70,70,1.25, 1,Arts
82,Whisperain,Medic,Wide-Range,Therapist,5,1432,492,119,1432,515,119,1632,532,119,1632,555,119,10,20,18,1,70,66,2.85, 1,Healing
83,Aosta,Sniper,Boomstick,Spreadshooter,5,2376,691,192,2376,717,192,2376,756,192,2376,782,192,0,31,29,1,70,66,2.3, AoE,Physical
84,Whislash,Guard,Support,Instructor,5,1932,645,420,1932,645,420,1932,675,460,1932,675,460,0,18,15,2,80,70,1.05, 1,Physical
85,April,Sniper,Anti-Air,Marksman,5,1280,528,160,1280,551,160,1280,603,160,1280,626,160,0,13,11,1,70,60,1, 1,Physical
86,Mint,Caster,Modal,Phalanx Caster,5,1945,732,196,1945,732,196,1945,807,211,1945,807,211,15,25,22,1,80,70,2, AoE,Arts
87,Touch,Medic,ST,Medic,5,1633,595,135,1633,595,135,1633,595,135,1633,595,135,0,18,18,1,60,60,2.85, 1,Healing
88,Pith,Caster,AoE,Splash Caster,5,1655,821,128,1655,821,128,1655,821,128,1655,821,128,20,32,32,1,60,60,2.9, AoE,Arts
89,Stormeye,Sniper,Anti-Air,Marksman,5,1549,595,159,1549,595,159,1549,595,159,1549,595,159,0,12,12,1,60,60,1, 1,Physical
90,Sharp,Guard,Duelist,Dreadnought,5,3565,957,265,3565,957,265,3565,957,265,3565,957,265,0,17,17,1,60,60,1.5, 1,Physical
91,Flint,Guard,Brawler,Fighter,5,2495,545,334,2495,569,334,2495,620,334,2495,644,334,0,10,8,1,70,66,0.78, 1,Physical
92,Tomimi,Caster,ST,Core Caster,5,1920,600,119,1920,600,119,2120,635,119,2120,635,119,20,22,19,1,80,70,1.6, 1,Arts
93,Andreana,Sniper,Long-Range,Deadeye,5,1498,1070,128,1498,1105,128,1798,1110,128,1798,1145,128,0,21,19,1,70,66,2.7, 1,Physical
94,Chiave,Vanguard,Skill-DP,Pioneer,5,1824,522,342,1824,546,342,1824,592,342,1824,616,342,0,13,11,2,70,66,1.05, 1,Physical
95,Beeswax,Caster,Modal,Phalanx Caster,5,2005,735,205,2005,765,205,2005,805,225,2005,835,225,15,23,21,1,70,60,2, AoE,Arts
96,Scene,Supporter,Summoner,N/A,5,1105,432,155,1105,432,155,1305,432,190,1305,432,190,20,11,9,1,70,60,1.6, 1,Arts
97,Ayerscarpe,Guard,Ranged,Lord,5,2420,670,375,2420,696,375,2420,745,375,2420,771,375,10,19,17,2,70,66,1.3, AoE,Physical
98,Folinic,Medic,ST,Medic,5,1585,479,133,1585,479,133,1785,529,133,1785,529,133,0,21,18,1,80,70,2.85, 1,Healing
99,Leonhardt,Caster,AoE,Splash Caster,5,1637,773,120,1637,805,120,1637,863,120,1637,895,120,20,33,31,1,70,66,2.9, AoE,Arts
100,Absinthe,Caster,ST,Core Caster,5,1420,633,124,1420,633,124,1420,703,124,1420,703,124,20,22,19,1,80,70,1.6, 1,Arts
101,Tsukinogi,Supporter,Buffer,Abjurer,5,1620,385,175,1780,385,175,1920,425,175,2080,425,175,25,12,10,1,70,66,1.6, 1,Arts
102,Asbestos,Defender,Arts Protector,N/A,5,3135,633,555,3345,633,555,3135,673,595,3345,673,595,15,25,23,3,70,60,1.6, 1,Arts
103,Elysium,Vanguard,Flagbearer,Standard Bearer,5,1669,533,335,1669,533,358,1669,533,395,1669,533,418,0,11,9,1,70,66,1.3, 1,Physical
104,Shamare,Supporter,Debuffer,Hexer,5,1728,408,105,1728,408,105,1728,473,105,1728,473,105,25,12,10,1,70,66,1.6, 1,Arts
105,Sideroca,Guard,Arts Fighter,N/A,5,2845,620,369,2845,620,369,3345,620,369,3345,620,369,15,23,20,1,80,70,1.25, 1,Arts
106,Sesa,Sniper,AoE,Artilleryman,5,1655,833,123,1655,866,123,1655,918,123,1655,951,123,0,28,26,1,70,66,2.8, AoE,Physical
107,Bibeak,Guard,Dualstrike,Swordmaster,5,2550,602,332,2550,624,332,2550,682,332,2550,704,332,0,22,20,2,70,66,1.3, 1,Physical
108,Leizi,Caster,Chain Caster,N/A,5,1443,635,119,1443,663,119,1443,710,119,1443,738,119,20,32,30,1,70,66,2.3, 1,Arts
109,Hung,Defender,Healing,Guardian,5,2823,442,585,2823,442,610,3023,442,645,3023,442,670,10,21,19,3,70,66,1.2, 1,Physical
110,Snowsant,Specialist,Puller,Hookmaster,5,1835,745,355,1835,745,355,2135,745,395,2135,745,395,0,15,12,2,80,70,1.8, 1,Physical
111,GreyThroat,Sniper,Anti-Air,Marksman,5,1493,513,152,1493,536,152,1493,588,152,1493,611,152,0,13,11,1,70,60,1, 1,Physical
112,Broca,Guard,AoE,Centurion,5,2335,762,366,2335,790,366,2335,842,366,2335,870,366,0,23,21,3,70,66,1.2, Multi (Block #),Physical
113,Reed,Vanguard,DP-On-Kill,Charger,5,2215,562,364,2215,587,364,2215,632,364,2215,657,364,0,12,10,1,70,60,1, 1,Physical
114,Bison,Defender,Normal,Protector,5,3456,375,701,3456,375,701,3456,375,781,3456,375,781,0,24,21,3,80,70,1.2, 1,Physical
115,Waai Fu,Specialist,Fast-Redeploy,Executor,5,1455,536,304,1455,536,323,1455,586,334,1455,586,353,0,9,7,1,18,16,0.93, 1,Physical
116,Ceylon,Medic,Wide-Range,Therapist,5,1455,468,126,1455,468,126,1655,508,126,1655,508,126,10,22,19,1,80,70,2.85, 1,Healing
117,Flamebringer,Guard,Duelist,Dreadnought,5,3907,918,195,3907,918,195,4307,963,195,4307,963,195,0,20,17,1,80,70,1.5, 1,Physical
118,Breeze,Medic,AoE,Multi-target Medic,5,1595,343,153,1595,363,153,1795,373,153,1795,393,153,0,17,15,1,70,60,2.85, 3,Healing
119,Executor,Sniper,Boomstick,Spreadshooter,5,2330,720,185,2330,749,185,2330,785,185,2330,814,185,0,31,29,1,70,66,2.3, AoE,Physical
120,Astesia,Guard,Arts Fighter,N/A,5,2523,660,393,2523,660,416,2523,690,448,2523,690,471,15,21,19,1,70,60,1.25, 1,Arts
121,Glaucus,Supporter,Slower,Decel Binder,5,1267,505,100,1267,528,100,1567,540,100,1567,563,100,20,15,13,1,70,66,1.9, 1,Arts
122,Swire,Guard,Support,Instructor,5,1914,656,413,1914,682,413,1914,696,443,1914,722,443,0,16,14,2,70,66,1.05, 1,Physical
123,Grani,Vanguard,DP-On-Kill,Charger,5,2235,552,367,2235,552,367,2235,552,437,2235,552,437,0,14,11,1,80,70,1, 1,Physical
124,Nightmare,Caster,ST,Core Caster,5,1510,622,120,1510,648,120,1510,692,120,1510,718,120,20,20,18,1,70,66,1.6, 1,Arts
125,Savage,Guard,AoE,Centurion,5,2430,705,320,2680,740,320,2430,705,360,2680,740,360,0,22,22,3,70,70,1.2, Multi (Block #),Physical
126,FEater,Specialist,Pusher,Push Stroker,5,1845,640,382,1845,640,382,2145,685,382,2145,685,382,0,20,18,2,70,66,1.2, Multi (Block #),Physical
127,Manticore,Specialist,Ambusher,N/A,5,1630,811,343,1630,841,343,1630,871,373,1630,901,373,30,20,18,0,70,66,3.5, AoE,Physical
128,Sora,Supporter,Aura,Bard,5,1356,335,238,1496,335,238,1356,385,258,1496,385,258,0,7,5,1,70,60,1, 1,Physical
129,Istina,Supporter,Slower,Decel Binder,5,1280,518,104,1280,541,104,1280,583,104,1280,606,104,20,15,13,1,70,66,1.9, 1,Arts
130,Pramanix,Supporter,Debuffer,Hexer,5,1605,430,102,1605,430,102,1605,495,102,1605,495,102,25,12,10,1,70,66,1.6, 1,Arts
131,Cliffheart,Specialist,Puller,Hookmaster,5,1970,765,340,1970,765,340,1970,835,340,1970,835,340,0,13,11,2,70,66,1.8, 1,Physical
132,Firewatch,Sniper,Long-Range,Deadeye,5,1450,1085,131,1450,1120,131,1450,1175,131,1450,1210,131,0,21,19,1,70,66,2.7, 1,Physical
133,Provence,Sniper,Close Range,Heavyshooter,5,1680,781,215,1680,811,215,1680,871,215,1680,901,215,0,19,17,1,70,66,1.6, 1,Physical
134,Vulcan,Defender,Enmity,Juggernaut,5,3688,820,585,3938,820,585,4088,870,585,4338,870,585,10,35,33,3,70,66,1.6, 1,Physical
135,Croissant,Defender,Normal,Protector,5,3520,380,710,3520,380,736,3670,380,770,3670,380,796,0,22,20,3,70,66,1.2, 1,Physical
136,Liskarm,Defender,Normal,Protector,5,3240,425,710,3240,425,737,3240,470,755,3240,470,782,0,22,20,3,70,66,1.2, 1,Physical
137,Projekt Red,Specialist,Fast-Redeploy,Executor,5,1505,530,302,1505,550,302,1505,605,302,1505,625,302,0,9,7,1,18,16,0.93, 1,Physical
138,Nearl,Defender,Healing,Guardian,5,2780,462,575,2780,462,600,2780,502,625,2780,502,650,10,21,19,3,70,66,1.2, 1,Physical
139,Warfarin,Medic,ST,Medic,5,1520,505,125,1520,532,125,1520,580,125,1520,607,125,0,19,17,1,70,60,2.85, 1,Healing
140,Silence,Medic,ST,Medic,5,1595,482,142,1595,506,142,1595,557,142,1595,581,142,0,19,17,1,70,66,2.85, 1,Healing
141,Mayer,Supporter,Summoner,N/A,5,1068,443,130,1068,443,130,1268,478,130,1268,478,130,20,11,9,1,70,60,1.6, 1,Arts
142,Skyfire,Caster,AoE,Splash Caster,5,1620,784,122,1620,817,122,1620,874,122,1620,907,122,20,33,31,1,70,66,2.9, AoE,Arts
143,Amiya,Caster,ST,Core Caster,5,1480,612,121,1680,642,121,1680,682,121,1880,712,121,20,20,18,1,70,70,1.6, 1,Arts
144,Meteorite,Sniper,AoE,Artilleryman,5,1505,865,116,1505,900,116,1505,950,116,1505,985,116,0,28,26,1,70,60,2.8, AoE,Physical
145,Platinum,Sniper,Anti-Air,Marksman,5,1550,505,165,1550,528,165,1550,580,165,1550,603,165,0,13,11,1,70,66,1, 1,Physical
146,Blue Poison,Sniper,Anti-Air,Marksman,5,1230,535,130,1230,559,130,1230,610,130,1230,634,130,5,13,11,1,70,66,1, 1,Physical
147,Specter,Guard,AoE,Centurion,5,2630,725,355,2630,752,355,2630,805,355,2630,832,355,0,23,21,3,70,66,1.2, Multi (Block #),Physical
148,Lappland,Guard,Ranged,Lord,5,2350,685,365,2350,710,365,2350,760,365,2350,785,365,15,19,17,2,70,66,1.3, 1,Physical
149,Indra,Guard,Brawler,Fighter,5,2565,530,350,2565,553,350,2565,605,350,2565,628,350,0,10,8,1,70,66,0.78, 1,Physical
150,Franka,Guard,Duelist,Dreadnought,5,3768,936,235,3768,966,235,3768,1011,260,3768,1041,260,0,18,16,1,70,60,1.5, 1,Physical
151,Texas,Vanguard,Skill-DP,Pioneer,5,1950,500,343,1950,524,343,1950,570,343,1950,594,343,0,13,11,2,70,60,1.05, 1,Physical
152,Zima,Vanguard,Skill-DP,Pioneer,5,2150,470,350,2150,470,374,2150,470,420,2150,470,444,0,13,11,2,70,60,1.05, 1,Physical
153,Ptilopsis,Medic,AoE,Multi-target Medic,5,1610,335,150,1610,356,150,1610,390,150,1610,411,150,0,17,15,1,70,60,2.85, 3,Healing
154,Pudding,Caster,Chain Caster,N/A,4,1326,542,108,1326,565,108,1326,612,108,1326,635,108,20,31,29,1,70,60,2.3, 1,Arts
155,Roberta,Supporter,Artificer,N/A,4,2470,535,415,2470,535,450,2470,570,450,2470,570,485,0,17,15,2,70,66,1.5, 1,Physical
156,Indigo,Caster,Charge,Mystic Caster,4,1435,1116,117,1435,1152,117,1435,1216,117,1435,1252,117,20,23,21,1,70,66,3, 1,Arts
157,Beanstalk,Vanguard,Summoner,Tactician,4,1569,405,125,1569,405,125,1569,455,125,1569,455,125,0,13,11,1,70,60,1, 1,Physical
158,Pinecone,Sniper,Boomstick,Spreadshooter,4,2200,667,167,2200,695,167,2200,722,167,2200,750,167,0,30,28,1,70,66,2.3, AoE,Physical
159,Bubble,Defender,Normal,Protector,4,3416,370,645,3416,370,670,3416,370,720,3416,370,745,0,21,19,3,70,60,1.2, 1,Physical
160,Arene,Guard,Ranged,Lord,4,2250,640,340,2250,658,340,2250,695,340,2250,713,340,10,18,16,2,70,66,1.3, 1,Physical
161,Aciddrop,Sniper,Close Range,Heavyshooter,4,1576,735,209,1576,765,209,1576,815,209,1576,845,209,0,18,16,1,70,62,1.6, 1,Physical
162,Jaye,Specialist,DP-Drain,Merchant,4,2284,674,378,2284,697,378,2484,714,378,2484,737,378,0,7,5,1,25,22,1, 1,Physical
163,Click,Caster,Drone,Mech-Accord,4,1440,315,120,1440,315,120,1440,375,120,1440,375,120,20,20,18,1,70,60,1.3, 1,Arts
164,Podenco,Supporter,Slower,Decel Binder,4,1163,492,96,1163,513,96,1163,542,96,1163,563,96,20,14,12,1,70,66,1.9, 1,Arts
165,Jackie,Guard,Brawler,Fighter,4,2378,529,308,2378,550,308,2378,589,308,2378,610,308,0,9,7,1,70,66,0.78, 1,Physical
166,Cutter,Guard,Dualstrike,Swordmaster,4,2320,571,325,2320,592,325,2320,641,325,2320,662,325,0,21,19,2,70,66,1.3, 1,Physical
167,Conviction,Guard,Duelist,Dreadnought,4,3483,929,166,3483,929,166,3705,951,166,3705,951,166,0,16,16,1,70,70,1.5, 1,Physical
168,Utage,Guard,Enmity,Musha,4,3444,693,312,3444,716,312,3444,723,352,3444,746,352,0,24,22,1,70,60,1.2, 1,Physical
169,Purestream,Medic,Wide-Range,Therapist,4,1365,454,118,1365,477,118,1515,489,118,1515,512,118,10,19,17,1,80,70,2.85, 1,Healing
170,Ambriel,Sniper,Long-Range,Deadeye,4,1595,977,122,1595,977,122,1595,1052,122,1595,1052,122,0,20,18,1,70,66,2.7, 1,Physical
171,May,Sniper,Anti-Air,Marksman,4,1632,478,105,1632,501,105,1632,543,105,1632,566,105,0,12,10,1,70,66,1, 1,Physical
172,Ethan,Specialist,Ambusher,N/A,4,1530,742,337,1680,742,337,1980,742,337,2130,742,337,30,19,17,0,70,60,3.5, AoE,Physical
173,Dur-nar,Defender,Arts Protector,N/A,4,3007,583,548,3007,606,568,3007,648,548,3007,671,568,15,24,22,3,70,66,1.6, 1,Arts
174,Vermeil,Sniper,Anti-Air,Marksman,4,1230,485,162,1230,509,162,1230,550,162,1230,574,162,0,12,10,1,70,60,1, 1,Physical
175,Myrtle,Vanguard,Flagbearer,Standard Bearer,4,1565,520,300,1565,520,322,1565,520,350,1565,520,372,0,10,8,1,70,66,1.3, 1,Physical
176,Sussurro,Medic,ST,Medic,4,1345,488,122,1345,511,122,1345,548,122,1345,571,122,0,18,16,1,70,66,2.85, 1,Healing
177,Greyy,Caster,AoE,Splash Caster,4,1537,699,130,1537,699,130,1837,699,130,1837,699,130,20,32,30,1,70,60,2.9, AoE,Arts 
